station_location,klvj,rh,date,hour_temp_taken
"HOUSTON CLOVER FIELD, TX US",98,48,2023-06-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,49,2023-06-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,51,2023-06-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,56,2023-06-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,43,2023-06-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,48,2023-06-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,48,2023-06-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,48,2023-06-30,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,51,2023-07-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",90,62,2023-07-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,46,2023-07-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",88,68,2023-07-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,46,2023-07-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,88,2023-07-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,57,2023-07-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,61,2023-07-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,56,2023-07-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,58,2023-07-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,48,2023-07-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,49,2023-07-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,56,2023-07-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,51,2023-07-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,41,2023-07-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,41,2023-07-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,42,2023-07-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,42,2023-07-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,37,2023-07-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,43,2023-07-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,46,2023-07-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,38,2023-07-22,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,60,2023-07-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,43,2023-07-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,47,2023-07-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,47,2023-07-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,44,2023-07-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,47,2023-07-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,51,2023-07-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,34,2023-07-30,14:53:00
"HOUSTON CLOVER FIELD, TX US",101,36,2023-07-31,14:53:00
"HOUSTON CLOVER FIELD, TX US",102,35,2023-08-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,42,2023-08-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,43,2023-08-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",101,36,2023-08-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,48,2023-08-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,43,2023-08-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,48,2023-08-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,48,2023-08-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,48,2023-08-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",101,42,2023-08-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,41,2023-08-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,43,2023-08-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,46,2023-08-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",104,35,2023-08-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",104,32,2023-08-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,28,2023-08-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,43,2023-08-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",101,32,2023-08-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",103,32,2023-08-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",106,28,2023-08-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,40,2023-08-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",90,62,2023-08-22,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,33,2023-08-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",106,28,2023-08-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,38,2023-08-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",101,34,2023-08-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",108,21,2023-08-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,38,2023-08-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,30,2023-08-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,22,2023-08-30,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,27,2023-08-31,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,25,2023-09-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,40,2023-09-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,47,2023-09-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,51,2023-09-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,49,2023-09-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",100,41,2023-09-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",102,35,2023-09-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",104,31,2023-09-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,31,2023-09-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,22,2023-09-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,30,2023-09-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,32,2023-09-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",92,54,2023-09-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",88,63,2023-09-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,72,2023-09-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",85,70,2023-09-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,34,2023-09-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,26,2023-09-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,29,2023-09-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,49,2023-09-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,47,2023-09-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,46,2023-09-22,14:53:00
"HOUSTON CLOVER FIELD, TX US",95,43,2023-09-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,56,2023-09-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,57,2023-09-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",92,49,2023-09-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,52,2023-09-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",92,44,2023-09-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",90,48,2023-09-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,44,2023-09-30,14:53:00
