station_location,kjas,rh,date,hour_temp_taken
"JASPER CO BELL FIELD AIRPORT, TX US",97,56,2023-06-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,44,2023-06-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,44,2023-06-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,53,2023-06-30,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,47,2023-07-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,59,2023-07-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,49,2023-07-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,75,2023-07-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,84,2023-07-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,74,2023-07-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,66,2023-07-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,53,2023-07-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,53,2023-07-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,47,2023-07-10,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,60,2023-07-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,67,2023-07-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,47,2023-07-13,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,47,2023-07-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,44,2023-07-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,53,2023-07-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,33,2023-07-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,39,2023-07-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,44,2023-07-19,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,31,2023-07-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,35,2023-07-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,39,2023-07-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,28,2023-07-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,27,2023-07-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,33,2023-07-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,27,2023-07-26,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,30,2023-07-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,36,2023-07-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,31,2023-07-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,31,2023-07-30,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,33,2023-07-31,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,31,2023-08-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,31,2023-08-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,37,2023-08-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,31,2023-08-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,31,2023-08-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,35,2023-08-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,27,2023-08-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,33,2023-08-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,37,2023-08-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,33,2023-08-10,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,33,2023-08-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",104,29,2023-08-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,27,2023-08-13,14:35:00
"JASPER CO BELL FIELD AIRPORT, TX US",104,26,2023-08-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,31,2023-08-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,20,2023-08-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,18,2023-08-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,26,2023-08-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",104,26,2023-08-19,14:35:00
"JASPER CO BELL FIELD AIRPORT, TX US",108,19,2023-08-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,26,2023-08-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,27,2023-08-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,31,2023-08-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",108,20,2023-08-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,33,2023-08-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,17,2023-08-26,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",106,19,2023-08-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,63,2023-08-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,28,2023-08-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,22,2023-08-30,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,26,2023-08-31,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,19,2023-09-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",100,21,2023-09-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,41,2023-09-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,53,2023-09-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,56,2023-09-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",99,35,2023-09-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",102,29,2023-09-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,49,2023-09-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,38,2023-09-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,24,2023-09-10,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,30,2023-09-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,41,2023-09-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,66,2023-09-13,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",77,100,2023-09-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,89,2023-09-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,41,2023-09-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,33,2023-09-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,19,2023-09-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,24,2023-09-19,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,28,2023-09-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,36,2023-09-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,32,2023-09-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,34,2023-09-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,59,2023-09-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,79,2023-09-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,47,2023-09-26,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,70,2023-09-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,44,2023-09-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,30,2023-09-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,26,2023-09-30,14:55:00
