station_location,kjdd,rh,date,hour_temp_taken
"MINEOLA WOOD CO AIRPORT, TX US",99,44,2023-08-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,53,2023-08-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,29,2023-08-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,33,2023-08-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-08-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,35,2023-08-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,33,2023-08-13,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",102,37,2023-08-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,29,2023-08-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,30,2023-08-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",104,24,2023-08-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",106,23,2023-08-18,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",104,28,2023-08-19,14:35:00
"MINEOLA WOOD CO AIRPORT, TX US",106,32,2023-08-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,33,2023-08-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-08-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-08-23,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",104,29,2023-08-24,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",106,25,2023-08-25,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",106,25,2023-08-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,42,2023-08-27,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,70,2023-08-28,14:50:00
"MINEOLA WOOD CO AIRPORT, TX US",93,34,2023-08-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,28,2023-08-30,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,32,2023-08-31,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,26,2023-09-01,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,25,2023-09-02,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,74,2023-09-03,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,52,2023-09-04,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",99,39,2023-09-05,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",100,35,2023-09-06,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",102,31,2023-09-07,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",97,42,2023-09-08,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,41,2023-09-09,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,40,2023-09-10,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,38,2023-09-11,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,49,2023-09-12,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",77,79,2023-09-13,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",73,94,2023-09-14,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",81,62,2023-09-15,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",84,48,2023-09-16,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,31,2023-09-17,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,26,2023-09-18,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,34,2023-09-19,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,59,2023-09-20,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,44,2023-09-21,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",86,66,2023-09-22,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",95,47,2023-09-23,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",90,63,2023-09-24,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",88,59,2023-09-25,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,34,2023-09-26,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,36,2023-09-27,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",93,39,2023-09-28,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,41,2023-09-29,14:55:00
"MINEOLA WOOD CO AIRPORT, TX US",91,41,2023-09-30,14:55:00
