station_location,kpsn,rh,date,hour_temp_taken
"PALESTINE MUNICIPAL AIRPORT, TX US",75,74,2023-05-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",75,65,2023-05-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,48,2023-05-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,62,2023-05-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,66,2023-05-24,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",82,55,2023-05-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,38,2023-05-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,43,2023-05-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,36,2023-05-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,46,2023-05-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,58,2023-05-30,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,49,2023-05-31,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,52,2023-06-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,52,2023-06-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,43,2023-06-03,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,49,2023-06-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,49,2023-06-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,46,2023-06-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,49,2023-06-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",79,65,2023-06-08,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,41,2023-06-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,56,2023-06-10,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,59,2023-06-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,59,2023-06-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,70,2023-06-13,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,70,2023-06-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,60,2023-06-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,59,2023-06-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,67,2023-06-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,63,2023-06-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,56,2023-06-19,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,56,2023-06-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,60,2023-06-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,63,2023-06-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,67,2023-06-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,56,2023-06-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,53,2023-06-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,39,2023-06-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,50,2023-06-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,47,2023-06-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,47,2023-06-30,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,47,2023-07-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,55,2023-07-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,56,2023-07-03,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,47,2023-07-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,53,2023-07-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,66,2023-07-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,52,2023-07-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,47,2023-07-08,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,50,2023-07-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,47,2023-07-10,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,56,2023-07-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,37,2023-07-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,44,2023-07-13,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,39,2023-07-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,33,2023-07-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,63,2023-07-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,26,2023-07-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,31,2023-07-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,27,2023-07-19,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,31,2023-07-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,29,2023-07-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,42,2023-07-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,23,2023-07-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,24,2023-07-24,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,27,2023-07-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,29,2023-07-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,29,2023-07-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,31,2023-07-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,25,2023-07-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,24,2023-07-30,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,27,2023-07-31,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,24,2023-08-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,20,2023-08-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,28,2023-08-03,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,27,2023-08-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,26,2023-08-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,26,2023-08-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,31,2023-08-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,31,2023-08-08,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,24,2023-08-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,26,2023-08-10,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,26,2023-08-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,29,2023-08-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,27,2023-08-13,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,21,2023-08-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,22,2023-08-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,16,2023-08-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,19,2023-08-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,19,2023-08-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,23,2023-08-19,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",108,22,2023-08-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,24,2023-08-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,24,2023-08-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",102,27,2023-08-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,20,2023-08-24,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,20,2023-08-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,19,2023-08-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,25,2023-08-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,47,2023-08-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,28,2023-08-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,23,2023-08-30,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",97,25,2023-08-31,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,22,2023-09-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",99,18,2023-09-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,24,2023-09-03,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,55,2023-09-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,33,2023-09-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",100,37,2023-09-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",104,23,2023-09-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",106,20,2023-09-08,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,39,2023-09-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,23,2023-09-10,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,31,2023-09-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,41,2023-09-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,74,2023-09-13,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",75,94,2023-09-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,89,2023-09-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,94,2023-09-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,33,2023-09-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,24,2023-09-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,32,2023-09-19,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,39,2023-09-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,47,2023-09-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,41,2023-09-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,47,2023-09-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",95,53,2023-09-24,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",88,59,2023-09-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,49,2023-09-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,41,2023-09-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",93,39,2023-09-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,41,2023-09-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",91,32,2023-09-30,14:55:00
